batch_date,company_name,status,jobs
2026-08-27,CRED,open,28
2026-08-27,FRESHWORKS,closed,3
2026-08-27,FRESHWORKS,open,132
2026-08-27,RAZORPAY SOFTWARE PRIVATE LIMITED,closed,3
2026-08-27,RAZORPAY SOFTWARE PRIVATE LIMITED,open,46
2026-08-27,ZETA,closed,1
2026-08-27,ZETA,open,44
2026-08-28,FRESHWORKS,closed,3
2026-08-28,FRESHWORKS,open,3
2026-08-28,RAZORPAY SOFTWARE PRIVATE LIMITED,open,1
2026-08-28,ZETA,closed,1
2026-08-29,FRESHWORKS,closed,1
2026-08-29,FRESHWORKS,open,1
2026-08-29,RAZORPAY SOFTWARE PRIVATE LIMITED,open,1
2026-08-30,RAZORPAY SOFTWARE PRIVATE LIMITED,closed,1
2026-08-31,FRESHWORKS,closed,1
2026-08-31,FRESHWORKS,open,1
2026-08-31,RAZORPAY SOFTWARE PRIVATE LIMITED,open,3
2026-09-01,FRESHWORKS,closed,1
2026-09-01,FRESHWORKS,open,1
2026-09-01,RAZORPAY SOFTWARE PRIVATE LIMITED,closed,3
2026-09-01,RAZORPAY SOFTWARE PRIVATE LIMITED,open,4
2026-09-01,ZETA,open,2
2026-09-02,FRESHWORKS,closed,9
2026-09-02,FRESHWORKS,open,9
2026-09-02,RAZORPAY SOFTWARE PRIVATE LIMITED,closed,3
2026-09-02,RAZORPAY SOFTWARE PRIVATE LIMITED,open,2
2026-09-03,FRESHWORKS,closed,7
2026-09-03,FRESHWORKS,open,7
2026-09-03,RAZORPAY SOFTWARE PRIVATE LIMITED,closed,2
2026-09-03,RAZORPAY SOFTWARE PRIVATE LIMITED,open,4
2026-09-03,ZETA,closed,1
2026-09-04,FRESHWORKS,closed,8
2026-09-04,FRESHWORKS,open,8
2026-09-04,RAZORPAY SOFTWARE PRIVATE LIMITED,closed,3
2026-09-04,RAZORPAY SOFTWARE PRIVATE LIMITED,open,3
2026-09-04,ZETA,closed,1
2026-09-05,RAZORPAY SOFTWARE PRIVATE LIMITED,closed,1
2026-09-07,FRESHWORKS,closed,5
2026-09-07,FRESHWORKS,open,5
2026-09-07,RAZORPAY SOFTWARE PRIVATE LIMITED,closed,3
2026-09-07,RAZORPAY SOFTWARE PRIVATE LIMITED,open,4
2026-09-07,ZETA,closed,2
2026-09-08,CRED,closed,3
2026-09-08,FRESHWORKS,closed,6
2026-09-08,FRESHWORKS,open,6
2026-09-08,RAZORPAY SOFTWARE PRIVATE LIMITED,closed,2
2026-09-08,RAZORPAY SOFTWARE PRIVATE LIMITED,open,3
2026-09-08,ZETA,open,1
